id,title,author,publisher,publishedAt,isbn,image,category,,,,,,,,,,,,,,,,,
82,대학생을 위한 실용금융,,금융감독원,,,,스타트업/경제/경영,,,,,,,,,,,,,,,,,
83,대한민국 국가미래교육전략 새 교육 패러다임 수용성 교육 중심으로,KAIST 문술미래전략대학원 미래전략연구센터,김영사,,,,교육,,,,,,,,,,,,,,,,,
84,더 해빙,"이서윤, 홍주연",수오서재,,,,인문학,,,,,,,,,,,,,,,,,
85,데이타베이스 시스템,이석호,정익사,,,,데이터베이스,,,,,,,,,,,,,,,,,
86,데이터 경진대회 1등 솔루션,"김민수1906, Context_KKP, DB분석가, 제주감귤, TNT",위키북스,,,,인공지능/데이터,,,,,,,,,,,,,,,,,
87,데이터 과학 트레이닝 북,"츠카모토 쿠니타카, 야마다 노키라즈, 오오사와 후미타카",인사이트,,,,인공지능/데이터,,,,,,,,,,,,,,,,,
88,데이터 과학을 위한 통계(Practical Statistics for Data Scientists),"피터 브루스, 앤드루 브루스",한빛미디어,,,,인공지능/데이터,,,,,,,,,,,,,,,,,
89,데이터 시각화 교과서,클라우스 윌케,책만,,,,데이터베이스,,,,,,,,,,,,,,,,,
90,데이터 시각화와 탐색 with POWER BI,마경근,영진닷컴,,,,인공지능/데이터,,,,,,,,,,,,,,,,,
91,데이터 통신,Behrouz A. Forouz,McGrawHill,,,,네트워크,,,,,,,,,,,,,,,,,
92,데이터 통신 - 3판,Behrouz A. Forouzan,한국맥그로힐,,,,네트워크,,,,,,,,,,,,,,,,,
93,데이터과학 입문,"레이철 슈트 , 캐시 오닐 ",한빛미디어,,,,인공지능/데이터,,,,,,,,,,,,,,,,,
94,데일 카네기 인간관계론,데일 카네기,현대지성,,,,인문학,,,,,,,,,,,,,,,,,
95,도널드 노먼의 UX 디자인 특강,도널드 노먼,유엑스 리뷰,,,,웹 프로그래밍,,,,,,,,,,,,,,,,,
96,도올의 교육입국론 (증보신판),김용옥,통나무,,,,교육,,,,,,,,,,,,,,,,,
97,독재자의 핸드북,브루스 부에노 데 메스키타,웅진 지식하우스,,,,인문학,,,,,,,,,,,,,,,,,
98,독하게 시작하는 C프로그래밍,최호성,루비페이퍼,,,,프로그래밍 언어,,,,,,,,,,,,,,,,,
99,된다! 유튜브·SNS·콘텐츠 저작권 문제 해결,오승종,이지스퍼블리싱,,,,디자인/자격증,,,,,,,,,,,,,,,,,
100,두근두근 파이썬,천인국,생능출판사,,,,프로그래밍 언어,,,,,,,,,,,,,,,,,
101,디버깅을 통해 배우는 리눅스 커널의 구조와 원리 1권,김동현,위키북스,,,,운영체제/컴퓨터시스템,,,,,,,,,,,,,,,,,
102,디버깅을 통해 배우는 리눅스 커널의 구조와 원리 2권,김동현,위키북스,,,,운영체제/컴퓨터시스템,,,,,,,,,,,,,,,,,
103,디자인 씽킹 바이블 - 비즈니스의 디자인,로저 마틴,유엑스리뷰,,,,인문학,,,,,,,,,,,,,,,,,
104,"디지털 논리회로 - 이론, 실습, 시뮬레이션, 개정3판","홍경호,임석구 ",한빛아카데미(교재),,,,운영체제/컴퓨터시스템,,,,,,,,,,,,,,,,,
105,디지털 디자인,M. Morris Mano 외 1,교보문고,,,,운영체제/컴퓨터시스템,,,,,,,,,,,,,,,,,
106,딥러닝 첫걸음,김성필,한빛미디어,,,,인공지능/데이터,,,,,,,,,,,,,,,,,
107,딥러닝을 위한 선형대수학,길버트 스트랭,한빛아카데미,,,,인공지능/데이터,,,,,,,,,,,,,,,,,
108,라즈베리 파이와 슈퍼컴퓨팅,애쉬윈 파얀카,에이콘출판사,,,,운영체제/컴퓨터시스템,,,,,,,,,,,,,,,,,
109,러닝 아카: 더 비기닝,제이슨 굿윈,지앤선,,,,기술 교양,,,,,,,,,,,,,,,,,
110,러닝 HTTP/2,"스티브 루딘, 하비에르 가르사",한빛미디어,,,,웹 프로그래밍,,,,,,,,,,,,,,,,,
111,러닝스쿨!한 권으로 끝내는 HTML+CSS 웹 디자인 입문,Mana,위키북스,,,,디자인/자격증,,,,,,,,,,,,,,,,,
112,레트로의 유니티 게임 프로그래밍 에센스 - C#으로 배우는 입문부터 4가지 게임 제작까지,이제민,한빛미디어,,,,게임개발/모바일,,,,,,,,,,,,,,,,,
113,"로봇 시대, 인간의 일 - 인공지능 시대를 살아가야 할 이들을 위한 안내서",구본권,어크로스,,,,기술 교양,,,,,,,,,,,,,,,,,
114,로봇수업,존 조던,사이언스 북스,,,,인공지능/데이터,,,,,,,,,,,,,,,,,
115,"룬샷 - 전쟁, 질병, 불황의 위기를 승리로 이끄는 설계의 힘",사피 바칼,흐름출판,,,,인문학,,,,,,,,,,,,,,,,,
116,리눅스 커널 내부구조,"백승재, 채종무",아티오,,,,운영체제/컴퓨터시스템,,,,,,,,,,,,,,,,,
117,리눅스 커널 심층 분석,로버트 러브,에이콘,,,,운영체제/컴퓨터시스템,,,,,,,,,,,,,,,,,
118,리뷰의 기술 - 건강한 소프트웨어를 위한 설계 리뷰 바로잡기,모리사키 슈지,제이펍,,,,기술 교양,,,,,,,,,,,,,,,,,
119,리얼월드 HTTP,시부카와 요시키,한빛미디어,,,,웹 프로그래밍,,,,,,,,,,,,,,,,,
120,리팩터링 2판,마틴 파울러,한빛미디어,,,,소프트웨어공학,,,,,,,,,,,,,,,,,
121,린 스타트업,에릭 리스,인사이트,,,,스타트업/경제/경영,,,,,,,,,,,,,,,,,
122,마스터링 이더리움 스마트 컨트랙트 및 댑 구축하기,"안드레아스 M. 안토노풀로스, 개빈 우드",제이펍,,,,미분류,,,,,,,,,,,,,,,,,
123,마스터링 이더리움,"안드레아스 M, 안토노풀로스, 개빈 우드",제이펍,,,,운영체제/컴퓨터시스템,,,,,,,,,,,,,,,,,
124,"마인드스톰 - 어린이, 컴퓨터, 배움 그리고 강력한 아이디어",시모어 패퍼트,인사이트,,,,교육,,,,,,,,,,,,,,,,,
125,마츠모토 유키히로의 프로그래밍 언어 만들기,마츠모토 유키히로,에이콘출판,,,,프로그래밍 언어,,,,,,,,,,,,,,,,,
126,마케팅이다,세스고딘,샘앤파커스,,,,인문학,,,,,,,,,,,,,,,,,
127,만들면서 배우는 Git + GitHub 입문,윤웅식,한빛미디어,,,,조직/실무,,,,,,,,,,,,,,,,,
128,말의 품격,이기주,황소북스,,,,인문학,,,,,,,,,,,,,,,,,
129,맛있는 디자인 포토샵 & 일러스트레이터 CC 2020,빨간고래(박정아),한빛미디어,,,,디자인/자격증,,,,,,,,,,,,,,,,,
130,맨먼스 미신 - 소프트웨어 공학에 관한 에세이 : The Mythical Man-Month,프레더릭 브룩스,인사이트,,,,소프트웨어공학,,,,,,,,,,,,,,,,,
131,"머신 러닝 교과서 With 파이썬, 사이킷런, 텐서플로",세바스찬,길벗,,,,인공지능/데이터,,,,,,,,,,,,,,,,,
132,머신 플랫폼 크라우드,"앤드루 맥아피, 에릭 브린올프슨",청림출판,,,,기술 교양,,,,,,,,,,,,,,,,,
133,머신러닝을 위한 파이썬  한 조각,박성호,비제이퍼블릭,,,,인공지능/데이터,,,,,,,,,,,,,,,,,
134,멀티플레이어 게임 프로그래밍,"조슈아 글레이저, 산제이 마드하브",길벗,,,,게임개발/모바일,,,,,,,,,,,,,,,,,
135,"멈추면, 비로소 보이는 것들",혜민,수오서재,,,,인문학,,,,,,,,,,,,,,,,,
136,메이크코드 & 마인크래프트 에듀케이션 에디션 - 입문편,"나상호, 백순훈, 신윤철, 이상민, 최성권",테크빌교육,,,,교육,,,,,,,,,,,,,,,,,
137,메이크코드 & 마인크래프트 에듀케이션 에디션 - 활용편,"나상호, 백순훈, 신윤철, 이상민, 최성권",테크빌교육,,,,교육,,,,,,,,,,,,,,,,,
138,명품 C++ Programming,황기태,생능출판사,,,,프로그래밍 언어,,,,,,,,,,,,,,,,,
139,모던 웹 디자인을 위한 HTML5 + CSS3 입문,윤인성,한빛미디어,,,,웹 프로그래밍,,,,,,,,,,,,,,,,,
140,모던 자바스크립트 Deep Dive,이응모,위키북스,,,,프로그래밍 언어,,,,,,,,,,,,,,,,,
141,모두의 네트워크,미즈구치 카츠야,길벗,,,,네트워크,,,,,,,,,,,,,,,,,
142,모두의 데이터 과학 with 파이썬,드미트리 지노비에프,길벗,,,,인공지능/데이터,,,,,,,,,,,,,,,,,
143,모두의 데이터분석 with 파이썬,"송석리, 이현아",길벗,,,,인공지능/데이터,,,,,,,,,,,,,,,,,
144,모두의 알고리즘 with 자바스크립트,스즈키 코이치,길벗,,,,자료구조/알고리즘,,,,,,,,,,,,,,,,,
145,모두의 알고리즘 with 파이썬,이승찬,길벗,,,,자료구조/알고리즘,,,,,,,,,,,,,,,,,
146,모두의 인공지능 기초 수학,서지영,길벗,,,,수학,,,,,,,,,,,,,,,,,
147,모두의 SQL,김도연,길벗,,,,데이터베이스,,,,,,,,,,,,,,,,,
148,모바일 미래보고서 2021,커넥팅랩,비즈니스북스,,,,기술 교양,,,,,,,,,,,,,,,,,
149,모바일 UI/UX 디자인 실무,이영주,한빛아카데미,,,,디자인/자격증,,,,,,,,,,,,,,,,,
150,"문과생, 데이터 사이언티스트 되다",차현나,더퀘스트,,,,기술 교양,,,,,,,,,,,,,,,,,
151,"문과생, 데이터 사이언티스트 되다 ",차현나,더퀘스트,,,,기술 교양,,,,,,,,,,,,,,,,,
152,"미국, 프랑스, 영국 교육제도",정일용,서울대학교출판문화원,,,,인문학,,,,,,,,,,,,,,,,,
153,미래 학교 - 학교는 사라지지 않는다,"엄윤미,한성은",스리체어스,,,,교육,,,,,,,,,,,,,,,,,
154,미래교육 미래학교,"박희진,신건철,최선경,오우진,정동완",미디어숲,,,,교육,,,,,,,,,,,,,,,,,
155,미래를 바꾼 아홉 가지 알고리즘,존 맥코믹,에이콘출판,,,,기술 교양,,,,,,,,,,,,,,,,,
156,"미래를 사는 도시, 선전",조상래,스리체어스,,,,인문학,,,,,,,,,,,,,,,,,
157,"미래의 교육, 올린 현존하는 가장 이상적인 학교",조봉수,스리체어스,,,,교육,,,,,,,,,,,,,,,,,
158,"미래의 교육을 설계한다 - 문제 풀이 수업에서 문제 해결 교육으로, 개인적 성취에서 사회적 실현으로",마크 프렌스키,한문화,,,,교육,,,,,,,,,,,,,,,,,
159,밑바닥부터 시작하는 데이터 과학,조엘 그루스,프로그래밍인사이트,,,,인공지능/데이터,,,,,,,,,,,,,,,,,
160,밑바닥부터 시작하는 딥러닝,사이토 고키,한빛미디어,,,,인공지능/데이터,,,,,,,,,,,,,,,,,
161,밑바닥부터 시작하는 딥러닝 2권,사이토 고키,한빛미디어,,,,인공지능/데이터,,,,,,,,,,,,,,,,,
162,바로바로 HTML5 - 필요한 것만 골라서 빠르게 써먹는,"김지훈,김도균,이현우,진정원 ",지&선(지앤선),,,,웹 프로그래밍,,,,,,,,,,,,,,,,,
163,발터 벤야민 선집 2 기술복제시대의 예술작품 사진의 작은 역사 외,발터 벤야민,도서출판 길,,,,인문학,,,,,,,,,,,,,,,,,
164,배워서 바로 쓰는 스프링 프레임워크,"애시시 사린, 제이 샤르마",한빛미디어,,,,웹 프로그래밍,,,,,,,,,,,,,,,,,
165,백년운동,정선근,아티잔,,,,조직/실무,,,,,,,,,,,,,,,,,
166,벤처 창업 경영론 - 제2판,성태경,정독(마인드탭(MindTap)),,,,스타트업/경제/경영,,,,,,,,,,,,,,,,,
167,벤처창업과 투자전략 - 개정판,정종용,무역경영사,,,,스타트업/경제/경영,,,,,,,,,,,,,,,,,
168,보고서 작성 실무 강의,홍장표,한빛미디어,,,,조직/실무,,,,,,,,,,,,,,,,,
169,보랏빛 소가 온다 2,세스 고딘,재인,,,,스타트업/경제/경영,,,,,,,,,,,,,,,,,
170,보이스 트레이닝,배윤희,시대인,,,,인문학,,,,,,,,,,,,,,,,,
171,보통의 언어들,김이나,위즈덤하우스,,,,인문학,,,,,,,,,,,,,,,,,
172,복지국가와 사회,견진만,윤성사,,,,인문학,,,,,,,,,,,,,,,,,
173,부트스트랩 사용자 가이드 - 간편한 웹 애플리케이션 개발을 위한,이동팔 (지은이),지&선(지앤선),,,,웹 프로그래밍,,,,,,,,,,,,,,,,,
174,브랜드 갭,마티 뉴마이어,알키,,,,스타트업/경제/경영,,,,,,,,,,,,,,,,,
175,브루스 테이트의 세븐 랭귀지,브루스 테이트,한빛미디어,,,,프로그래밍 언어,,,,,,,,,,,,,,,,,
176,비욘드,크리스 임피,시공사,,,,기술 교양,,,,,,,,,,,,,,,,,
177,비전공자를 위한 이해할 수 있는 IT 지식,최원영,티더블유아이지 |,,,,기술 교양,,,,,,,,,,,,,,,,,
178,비즈니스 글쓰기 상식사전,송세진,길벗,,,,인문학,,,,,,,,,,,,,,,,,
179,비즈니스 모델의 탄생,알렉산더 오스터왈더,타임비즈,,,,스타트업/경제/경영,,,,,,,,,,,,,,,,,
180,"빅데이터, 사람을 읽다",임세현 외 3,BC카드,,,,인공지능/데이터,,,,,,,,,,,,,,,,,
181,빅데이터분석기사 한권으로 끝내기,"정혜정, 장희선",시대고시기획,,,,디자인/자격증,,,,,,,,,,,,,,,,,
182,사랑 수업,윤홍균,심플라이프,,,,인문학,,,,,,,,,,,,,,,,,
183,사랑의 기술,에리히 프롬,문예출판사,,,,인문학,,,,,,,,,,,,,,,,,
184,사업보험,"엄정한, 유철현, 황교광",초록비책공방,,,,스타트업/경제/경영,,,,,,,,,,,,,,,,,
185,사용자경험 리서치 매뉴얼,"김승인,안지현",지&선(지앤선),,,,조직/실무,,,,,,,,,,,,,,,,,
186,삼성 소프트웨어 역량 테스트,"김수형, 문형진, 최종원, 하은용",와우패스,,,,자료구조/알고리즘,,,,,,,,,,,,,,,,,
187,삼성의 임원은 어떻게 일하는가,김종원,넥서스BIZ,,,,자기계발,,,,,,,,,,,,,,,,,
188,상상하지 말라,송길영,북스톤,,,,스타트업/경제/경영,,,,,,,,,,,,,,,,,
189,새로쓴 대용량 데이터베이스 솔루션 Vol.1,이화식,엔코아정보컨설팅,,,,데이터베이스,,,,,,,,,,,,,,,,,
190,새로운 CSS 레이아웃,레이철 앤드루,웹액츄얼리코리아,,,,웹 프로그래밍,,,,,,,,,,,,,,,,,
191,생각의 탄생,로버트 루트번스타인 과 미셸 루트 번스타인,에코의 서재,,,,인문학,,,,,,,,,,,,,,,,,
192,생활코딩! HTML+CSS+자바스크립트,이고잉,위키북스,,,,웹 프로그래밍,,,,,,,,,,,,,,,,,
193,서번트 리더십,제임스 C. 헌터,시대의 창,,,,스타트업/경제/경영,,,,,,,,,,,,,,,,,
194,성공하는 스타트업을 위한 101가지 비즈니스 모델 이야기,"남대희, 김주희, 정지혜, 정혜민, 이계원",한스미디어,,,,스타트업/경제/경영,,,,,,,,,,,,,,,,,
195,성당과 시장 : 우연한 혁명으로 일어난 리눅스와 오픈소스에 대한 생각 (영문) the cathedral & the bazaar,에릭 레이먼드,한빛미디어,,,,기술 교양,,,,,,,,,,,,,,,,,
196,성당과 시장 : 우연한 혁명으로 일어난 리눅스와 오픈소스에 대한 생각,에릭 레이먼드,한빛미디어,,,,기술 교양,,,,,,,,,,,,,,,,,
197,성적 없는 성적표,류태호,경희대학교 출판문화원,,,,교육,,,,,,,,,,,,,,,,,
198,세계 최고의 인재들은 왜 기본에 집중할까,도쓰카 다카마사,비즈니스북스,,,,교육,,,,,,,,,,,,,,,,,
199,세상에서 가장 쉬운 회의 퍼실리테이션,사카마키 료,이다미디어,,,,인문학,,,,,,,,,,,,,,,,,
200,"세상을 바꾸는 수업, 체인지메이커 교육",이은상,푸른칠판,,,,교육,,,,,,,,,,,,,,,,,
201,세상을 바꾸는 Start up!,주형철,로크미디어,,,,자기계발,,,,,,,,,,,,,,,,,
202,세인트존스의 고전 100권 공부법,조한별,바다출판사,,,,인문학,,,,,,,,,,,,,,,,,
203,센서티브 - 남들보다 민감한 사람을 위한 섬세한 심리학,일자 샌드,다산지식하우스,,,,인문학,,,,,,,,,,,,,,,,,
204,센스 오브 원더,레이첼 커슨,에코리브르,,,,인문학,,,,,,,,,,,,,,,,,
205,소비 수업,윤태영,문예출판사,,,,인문학,,,,,,,,,,,,,,,,,
206,소셜픽션 지금 세계는 무엇을 상상하고 있는가,이원재,어크로스,,,,스타트업/경제/경영,,,,,,,,,,,,,,,,,
207,소프트 스킬,존 손메즈,길벗,,,,자기계발,,,,,,,,,,,,,,,,,
208,소프트웨어 공학의 모든 것,최은만,생능출판사,,,,소프트웨어공학,,,,,,,,,,,,,,,,,
209,소프트웨어 교육 방법,"한선관,류미영",생능출판사,,,,교육,,,,,,,,,,,,,,,,,
210,소프트웨어 아키텍트가 알아야 할 97가지,Richard Monson-Haefel,지&선(지앤선),,,,소프트웨어공학,,,,,,,,,,,,,,,,,
211,"소프트웨어 장인 - 프로페셔널리즘, 실용주의, 자부심",산드로 만쿠소,길벗,,,,기술 교양,,,,,,,,,,,,,,,,,
212,소프트웨어 중심사회의 컴퓨터 개론,"강환수,조진형,신용현,강환일",인피니티북스,,,,컴퓨터 개론,,,,,,,,,,,,,,,,,
213,손에 잡히는 Vim,김선영,인사이트,,,,운영체제/컴퓨터시스템,,,,,,,,,,,,,,,,,
214,송쌤의 엔트리 코딩 학교,송상수,제이펍,,,,프로그래밍 언어,,,,,,,,,,,,,,,,,
215,수평 조직의 구조,김성남,스리체어스,,,,조직/실무,,,,,,,,,,,,,,,,,
216,수학 리부트 - 프로그래머를 위한 기초 수학,강중빈,인사이트,,,,수학,,,,,,,,,,,,,,,,,
217,숫자에 약한 사람들을 위한 통계학 수업,데이비드 스피겔할터,웅진지식하우스,,,,수학,,,,,,,,,,,,,,,,,
218,쉽게 배우는 소프트웨어 공학,김치수,한빛아카데미(교재),,,,소프트웨어공학,,,,,,,,,,,,,,,,,
